termo;tipo
CGCC;variavel
CGCF;variavel
CCLI;variavel
CCSU;variavel
CCBA;variavel
CLID;variavel
CLJD;variavel
DVCC;variavel
DVCS;variavel
CFOR;variavel
CCLF;variavel
CIEC;variavel
CFOR;variavel
CGFF;variavel
CGFD;variavel
CGFR;variavel
CGCS;variavel
CCDP;variavel
CCAP;variavel
CAN8;variavel
CNFO;variavel
CCSC;variavel
CCIP;variavel
CCSE;variavel
CCLE;variavel
AN8;variavel
IDCL;variavel
ICLF;variavel
IDFF;variavel
ICPV;variavel
RADI;variavel
CodigoCliente;variavel
codigoCliente;variavel
codCliente;variavel
CodCliente;variavel
10000000;texto-livre
IBSRIC;sub-rotina
14N;texto-livre
1N.N;texto-livre
xCCLI;variavel
XCCLI;variavel
Codigo_Cliente;variavel
0;texto-livre
CCLIP;variavel
